[2025-06-09T18:40:02.391+0200] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-06-09T18:40:50.686+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-30
[2025-06-09T18:40:51.618+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-30
[2025-06-09T18:40:52.685+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-01-31
[2025-06-09T18:40:54.104+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-01-31
[2025-06-09T18:40:54.524+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-01
[2025-06-09T18:40:55.087+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-01
[2025-06-09T18:40:55.649+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-02
[2025-06-09T18:40:56.247+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-02
[2025-06-09T18:40:56.573+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-03
[2025-06-09T18:40:57.044+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-03
[2025-06-09T18:40:57.331+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-04
[2025-06-09T18:40:57.740+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-04
[2025-06-09T18:40:58.746+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-05
[2025-06-09T18:40:59.060+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-05
[2025-06-09T18:40:59.526+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-06
[2025-06-09T18:40:59.847+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/moscow/2023-02-06
[2025-06-09T18:41:00.347+0200] {logging_mixin.py:188} INFO - [OK] Pollution written: /home/ccd/airflow/data/formatted/pollution/istanbul/2023-02-07
